2026-08-09T16:01:38.285+09:00  INFO 14460 --- [CardCapture-back] [File Watcher] rtingClassPathChangeChangedEventListener : Restarting due to 1 class path change (1 addition, 0 deletions, 0 modifications)
2026-08-09T16:01:56.490+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=9 / card-c:109
2026-08-09T16:01:56.491+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 110 / suitLスペード s:1 / num: 10 numLab:10
2026-08-09T16:01:56.491+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=10 / card-c:110
2026-08-09T16:01:56.491+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 111 / suitLスペード s:1 / num: 11 numLab:ジャック
2026-08-09T16:01:56.492+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=11 / card-c:111
2026-08-09T16:01:56.492+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 112 / suitLスペード s:1 / num: 12 numLab:クイーン
2026-08-09T16:01:56.492+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=12 / card-c:112
2026-08-09T16:01:56.493+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 113 / suitLスペード s:1 / num: 13 numLab:キング
2026-08-09T16:01:56.494+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=13 / card-c:113
2026-08-09T16:01:56.494+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 114 / suitLスペード s:1 / num: 14 numLab:エース
2026-08-09T16:01:56.495+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=14 / card-c:114
2026-08-09T16:01:56.495+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 202 / suitLハート s:2 / num: 2 numLab:2
2026-08-09T16:01:56.495+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=2 / num=2 / card-c:202
2026-08-09T16:01:56.496+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 203 / suitLハート s:2 / num: 3 numLab:3
2026-08-09T16:01:56.498+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=2 / num=3 / card-c:203
2026-08-09T16:01:56.499+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 204 / suitLハート s:2 / num: 4 numLab:4
2026-08-09T16:01:56.499+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=2 / num=4 / card-c:204
2026-08-09T16:01:56.500+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 205 / suitLハート s:2 / num: 5 numLab:5
2026-08-09T16:01:56.500+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=2 / num=5 / card-c:205
2026-08-09T16:01:56.500+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 206 / suitLハート s:2 / num: 6 numLab:6
2026-08-09T16:01:56.501+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=2 / num=6 / card-c:206
2026-08-09T16:01:56.501+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 207 / suitLハート s:2 / num: 7 numLab:7
2026-08-09T16:01:56.502+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=2 / num=7 / card-c:207
2026-08-09T16:01:56.502+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 208 / suitLハート s:2 / num: 8 numLab:8
2026-08-09T16:01:56.502+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=2 / num=8 / card-c:208
