2026-08-08T00:11:19.276+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 113 / suitLクラブ s:4 / num: 9 numLab:9
2026-08-08T00:11:19.276+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 114 / suitLクラブ s:4 / num: 10 numLab:10
2026-08-08T00:11:19.277+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 115 / suitLクラブ s:4 / num: 11 numLab:ジャック
2026-08-08T00:11:19.277+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 116 / suitLクラブ s:4 / num: 12 numLab:クイーン
2026-08-08T00:11:19.277+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 117 / suitLクラブ s:4 / num: 13 numLab:キング
2026-08-08T00:11:19.277+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 118 / suitLクラブ s:4 / num: 14 numLab:エース
2026-08-08T00:11:19.277+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 106 / suitLジョーカー s:5 / num: 1 numLab:1
2026-08-08T00:11:19.277+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 107 / suitLジョーカー s:5 / num: 2 numLab:2
2026-08-08T00:11:19.277+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; 終了
2026-08-08T00:11:19.277+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] j.c.e.c.service.CardCuptureInitService   : CardCuptureInitService; init 終了
2026-08-08T00:14:56.418+09:00  INFO 24256 --- [CardCapture-back] [File Watcher] rtingClassPathChangeChangedEventListener : Restarting due to 18 class path changes (0 additions, 0 deletions, 18 modifications)
2026-08-08T00:14:56.502+09:00  INFO 24256 --- [CardCapture-back] [Thread-5] o.s.boot.tomcat.GracefulShutdown         : Commencing graceful shutdown. Waiting for active requests to complete
2026-08-08T00:14:56.531+09:00  INFO 24256 --- [CardCapture-back] [tomcat-shutdown] o.s.boot.tomcat.GracefulShutdown         : Graceful shutdown complete
2026-08-08T00:14:57.012+09:00  INFO 24256 --- [CardCapture-back] [restartedMain] j.c.e.c.CardCaptureBackApplication       : Starting CardCaptureBackApplication using Java 21.0.9 with PID 24256 (C:\kino-work\SpringBoot\CardCapture-back\bin\main started by NPC-61 in C:\kino-work\SpringBoot\CardCapture-back)
2026-08-08T00:14:57.014+09:00  INFO 24256 --- [CardCapture-back] [restartedMain] j.c.e.c.CardCaptureBackApplication       : No active profile set, falling back to 1 default profile: "default"
2026-08-08T00:14:57.515+09:00  INFO 24256 --- [CardCapture-back] [restartedMain] o.s.boot.tomcat.TomcatWebServer          : Tomcat initialized with port 8080 (http)
2026-08-08T00:14:57.516+09:00  INFO 24256 --- [CardCapture-back] [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2026-08-08T00:14:57.516+09:00  INFO 24256 --- [CardCapture-back] [restartedMain] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/11.0.22]
2026-08-08T00:14:57.534+09:00  INFO 24256 --- [CardCapture-back] [restartedMain] b.w.c.s.WebApplicationContextInitializer : Root WebApplicationContext: initialization completed in 514 ms
2026-08-08T00:14:57.576+09:00  INFO 24256 --- [CardCapture-back] [restartedMain] o.s.v.b.OptionalValidatorFactoryBean     : Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-08-08T00:14:57.647+09:00  INFO 24256 --- [CardCapture-back] [restartedMain] o.s.boot.tomcat.TomcatWebServer          : Tomcat started on port 8080 (http) with context path '/'
2026-08-08T00:14:57.652+09:00  INFO 24256 --- [CardCapture-back] [restartedMain] j.c.e.c.CardCaptureBackApplication       : Started CardCaptureBackApplication in 0.695 seconds (process running for 19018.571)
2026-08-08T00:14:57.654+09:00  INFO 24256 --- [CardCapture-back] [restartedMain] .ConditionEvaluationDeltaLoggingListener : Condition evaluation unchanged
2026-08-08T00:15:01.574+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-08-08T00:15:01.574+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2026-08-08T00:15:01.575+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2026-08-08T00:15:02.060+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-4] o.springdoc.api.AbstractOpenApiResource  : Init duration for springdoc-openapi is: 128 ms
